Key,Year,Identifier,Model,Model2,Category,Validation,Training (%),Test (%),Time Horizon,Time Horizon (Months),Rank within study,RMSE,nRMSE,R-Squared,R,MAE,MAPE,MASE,CORR,ME,SMAPE,MSE,Lambda,CVE,Pearson's correlation coefficient (ρ),Note/Input Variables,EXCLUDE
S5X3HJIW,2023,"Addawe, 2023",GBM,GBM,Machine Learning,Walk-forward ,75,25,1M,1,3,,,0.1728,,1.6219,,,,,,,,,,"Loakan Proper, Lag-1+Time",
S5X3HJIW,2023,"Addawe, 2023",LR,LR,Machine Learning,Walk-forward ,75,25,1M,1,4,,,0.5654,,1.7606,,,,,,,,,,"Asin, Lag-1+RH+RF",
S5X3HJIW,2023,"Addawe, 2023",RF,RF,Machine Learning,Walk-forward ,75,25,1M,1,5,,,0.3778,,2.655,,,,,,,,,,"Irisan, Lag-1+Year+RF+RH+WS+WD",
S5X3HJIW,2023,"Addawe, 2023",RF,RF,Machine Learning,Walk-forward ,75,25,1M,1,1,,,0.3538,,1.1379,,,,,,,,,,"Camp 7, Lag-7+Time",
S5X3HJIW,2023,"Addawe, 2023",RF,RF,Machine Learning,Walk-forward ,75,25,1M,1,2,,,0.0061,,1.4121,,,,,,,,,,"Bakakeng Central, Time + MTs",
Z7R5IGNY,2024,"Agarwala, 2024",RF,RF,Machine Learning,Not clear,Not clear,Not clear,24M,24,1,0.5487,,0.9418,,0.3763,,,,,,0.3011,,,,,
Z7R5IGNY,2024,"Agarwala, 2024",SARIMA,SARIMA,Time Series,Not clear,Not clear,Not clear,24M,24,2,0.5597,,0.9489,,0.3952,,,,,,0.3133,,,,"(2,1,3)(0,0,2)",
Z7R5IGNY,2024,"Agarwala, 2024",XGBoost,XGBoost,Machine Learning,Not clear,Not clear,Not clear,24M,24,3,119.3177,,-2.56164,,100.2533,,,,,,"14,236.71",,,,,
4HKIKKDJ,2021,"Anggraeni, 2021",LSTM,LSTM,Deep Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,1,28.651,,,,25.727,,,,,0.183,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, Twitter, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",LSTM,LSTM,Deep Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,1,29.892,,,,26.467,,,,,0.187,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, Google Trends, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",LSTM,LSTM,Deep Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,1,30.111,,,,19.11,,,,,0.31,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",LSTM,LSTM,Deep Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,1,30.157,,,,26.7,,,,,0.189,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, Google Trends, Twitter, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",LSTM,LSTM,Deep Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,1,30.749,,,,27.253,,,,,0.191,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, Google Trends",
4HKIKKDJ,2021,"Anggraeni, 2021",LSTM,LSTM,Deep Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,1,31.509,,,,27.901,,,,,0.195,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, Twitter",
4HKIKKDJ,2021,"Anggraeni, 2021",LSTM,LSTM,Deep Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,1,32.694,,,,25.986,,,,,0.389,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed, Google Trends, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",LSTM,LSTM,Deep Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,1,32.723,,,,29.117,,,,,0.202,,,,,"Malang, temperature, relative humidity, rainfall, wind speed",
4HKIKKDJ,2021,"Anggraeni, 2021",LSTM,LSTM,Deep Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,1,33.001,,,,29.377,,,,,0.203,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, Google Trends, Twitter",
4HKIKKDJ,2021,"Anggraeni, 2021",LSTM,LSTM,Deep Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,1,33.3885,,,,30.125,,,,,0.207,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",LSTM,LSTM,Deep Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,1,44.491,,,,42.39,,,,,0.502,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed, Google Trends",
4HKIKKDJ,2021,"Anggraeni, 2021",LSTM,LSTM,Deep Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,1,53.785,,,,51.541,,,,,0.548,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed",
4HKIKKDJ,2021,"Anggraeni, 2021",LR,LR,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,2,56.782,,,,32.646,,,,,33.924,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",LR,LR,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,2,57.102,,,,33.353,,,,,32.872,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, Twitter, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",LR,LR,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,2,57.753,,,,35.058,,,,,32.057,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, Google Trends, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",LR,LR,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,2,58.267,,,,34.653,,,,,32.405,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, Google Trends, Twitter, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",LR,LR,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,2,63.502,,,,44.488,,,,,0.30675,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, Google Trends, Twitter",
4HKIKKDJ,2021,"Anggraeni, 2021",LR,LR,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,2,63.718,,,,45.088,,,,,0.314,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, Google Trends",
4HKIKKDJ,2021,"Anggraeni, 2021",LR,LR,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,2,65.273,,,,47.053,,,,,0.32,,,,,"Malang, temperature, relative humidity, rainfall, wind speed",
4HKIKKDJ,2021,"Anggraeni, 2021",LR,LR,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,2,66.851,,,,48.153,,,,,0.311,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, Twitter",
4HKIKKDJ,2021,"Anggraeni, 2021",LSTM,LSTM,Deep Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,1,68.712,,,,65.754,,,,,0.592,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed, Google Trends, Twitter",
4HKIKKDJ,2021,"Anggraeni, 2021",LSTM,LSTM,Deep Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,1,68.763,,,,65.798,,,,,0.592,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed, Google Trends, Twitter, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",SVM,SVM,Machine Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,3,68.79,,,,47.121,,,,,29.257,,,,,"Malang, temperature, relative humidity, rainfall, wind speed, Google Trends, reported case number Lag 1",
4HKIKKDJ,2021,"Anggraeni, 2021",LSTM,LSTM,Deep Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,1,68.861,,,,65.887,,,,,0.592,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed, Twitter",
4HKIKKDJ,2021,"Anggraeni, 2021",LSTM,LSTM,Deep Learning,k-fold & blocked timeseries cross-validation,Not clear,Not clear,Not clear (6M & 12M),not clear,1,68.883,,,,65.907,,,,,0.592,,,,,"Surabaya, temperature, relative humidity, rainfall, wind speed, Twitter, reported case number Lag 1",
